species,genomes,superkingdom,doubling_h,growth_tmp,Representative.genome
Acaryochloris marina,RS_GCF_000018105.1,Bacteria,31.35,29.8,RS_GCF_000018105.1
Acaryochloris marina,RS_GCF_024347835.1,Bacteria,31.35,29.8,RS_GCF_000018105.1
Acetanaerobacterium elongatum,RS_GCF_900103835.1,Bacteria,4.78,37,RS_GCF_900103835.1
Acetobacterium bakii,RS_GCF_001263355.1,Bacteria,5.76,19.9,RS_GCF_001263355.1
Acetobacterium bakii,RS_GCF_008086625.1,Bacteria,5.76,19.9,RS_GCF_001263355.1
Acetomicrobium flavidum,GB_GCA_012516215.1,Bacteria,3.39,54.9,GB_GCA_900129645.1
Acetomicrobium flavidum,GB_GCA_029553085.1,Bacteria,3.39,54.9,GB_GCA_900129645.1
Acetomicrobium flavidum,GB_GCA_900129645.1,Bacteria,3.39,54.9,GB_GCA_900129645.1
Acetomicrobium flavidum,RS_GCF_000266925.1,Bacteria,3.39,54.9,GB_GCA_900129645.1
Acetonema longum,RS_GCF_000219125.1,Bacteria,36,31.5,RS_GCF_000219125.1
Acidihalobacter prosperus,RS_GCF_000754095.2,Bacteria,6,32.8,RS_GCF_000754095.2
Acidimicrobium ferrooxidans,RS_GCF_000023265.1,Bacteria,2.2,47.3,RS_GCF_000023265.1
Acidithiobacillus ferrivorans,GB_GCA_021805645.1,Bacteria,5.59,30,GB_GCA_018853935.1
Acidithiobacillus ferrivorans,RS_GCF_900174455.1,Bacteria,5.59,30,GB_GCA_018853935.1
Acidithiobacillus ferrivorans,GB_GCA_018853935.1,Bacteria,5.59,30,GB_GCA_018853935.1
Acidithiobacillus ferrivorans,RS_GCF_000750615.1,Bacteria,5.59,30,GB_GCA_018853935.1
Acidithiobacillus ferrivorans,RS_GCF_018854855.1,Bacteria,5.59,30,GB_GCA_018853935.1
Acidithiobacillus thiooxidans,RS_GCF_001705805.1,Bacteria,73.64,29.6,RS_GCF_009662475.1
Acidithiobacillus thiooxidans,RS_GCF_006718285.1,Bacteria,73.64,29.6,RS_GCF_009662475.1
Acidithiobacillus thiooxidans,RS_GCF_001705755.1,Bacteria,73.64,29.6,RS_GCF_009662475.1
Acidithiobacillus thiooxidans,GB_GCA_027365625.1,Bacteria,73.64,29.6,RS_GCF_009662475.1
Acidithiobacillus thiooxidans,RS_GCF_001705625.1,Bacteria,73.64,29.6,RS_GCF_009662475.1
Acidithiobacillus thiooxidans,RS_GCF_009662475.1,Bacteria,73.64,29.6,RS_GCF_009662475.1
Acidothermus cellulolyticus,GB_GCA_023512095.1,Bacteria,4.6,59.4,RS_GCF_000015025.1
Acidothermus cellulolyticus,RS_GCF_000015025.1,Bacteria,4.6,59.4,RS_GCF_000015025.1
Acinetobacter baumannii,RS_GCF_002411775.1,Bacteria,0.729628611115732,37,RS_GCF_009759685.1
Acinetobacter baumannii,RS_GCF_002837955.2,Bacteria,0.729628611115732,37,RS_GCF_009759685.1
Acinetobacter baumannii,RS_GCF_003940365.1,Bacteria,0.729628611115732,37,RS_GCF_009759685.1
Acinetobacter baumannii,RS_GCF_001861855.1,Bacteria,0.729628611115732,37,RS_GCF_009759685.1
Acinetobacter baumannii,RS_GCF_005819515.1,Bacteria,0.729628611115732,37,RS_GCF_009759685.1
Acinetobacter baumannii,RS_GCF_009759685.1,Bacteria,0.729628611115732,37,RS_GCF_009759685.1
Acinetobacter baylyi,RS_GCF_030819155.1,Bacteria,0.5,30,RS_GCF_000368685.1
Acinetobacter baylyi,RS_GCF_900465415.1,Bacteria,0.5,30,RS_GCF_000368685.1
Acinetobacter baylyi,RS_GCF_000368685.1,Bacteria,0.5,30,RS_GCF_000368685.1
Acinetobacter baylyi,RS_GCF_025398855.1,Bacteria,0.5,30,RS_GCF_000368685.1
Acinetobacter baylyi,RS_GCF_010577895.1,Bacteria,0.5,30,RS_GCF_000368685.1
Acinetobacter calcoaceticus,RS_GCF_003999925.1,Bacteria,0.59,32.9,RS_GCF_000368965.1
Acinetobacter calcoaceticus,RS_GCF_016124155.1,Bacteria,0.59,32.9,RS_GCF_000368965.1
Acinetobacter calcoaceticus,RS_GCF_002055515.1,Bacteria,0.59,32.9,RS_GCF_000368965.1
Acinetobacter calcoaceticus,RS_GCF_000162035.1,Bacteria,0.59,32.9,RS_GCF_000368965.1
Acinetobacter calcoaceticus,RS_GCF_000818215.1,Bacteria,0.59,32.9,RS_GCF_000368965.1
Acinetobacter calcoaceticus,RS_GCF_000368965.1,Bacteria,0.59,32.9,RS_GCF_000368965.1
Aeromonas hydrophila,RS_GCF_023016135.1,Bacteria,0.33,30.9,RS_GCF_000014805.1
Aeromonas hydrophila,RS_GCF_029075805.1,Bacteria,0.33,30.9,RS_GCF_000014805.1
Aeromonas hydrophila,RS_GCF_026114445.1,Bacteria,0.33,30.9,RS_GCF_000014805.1
Aeromonas hydrophila,GB_GCA_029623615.1,Bacteria,0.33,30.9,RS_GCF_000014805.1
Aeromonas hydrophila,RS_GCF_027707985.1,Bacteria,0.33,30.9,RS_GCF_000014805.1
Aeromonas hydrophila,RS_GCF_000014805.1,Bacteria,0.33,30.9,RS_GCF_000014805.1
