species,genomes,superkingdom,doubling_h,growth_tmp,Representative.genome
Acidiplasma aeolicum,RS_GCF_031201125.1,Archaea,12.01,43.5,RS_GCF_001402945.1
Acidiplasma aeolicum,GB_GCA_021845385.1,Archaea,12.01,43.5,RS_GCF_001402945.1
Acidiplasma aeolicum,RS_GCF_027368395.1,Archaea,12.01,43.5,RS_GCF_001402945.1
Acidiplasma aeolicum,RS_GCF_001402945.1,Archaea,12.01,43.5,RS_GCF_001402945.1
Acidiplasma aeolicum,GB_GCA_021834825.1,Archaea,12.01,43.5,RS_GCF_001402945.1
Aeropyrum camini,RS_GCF_000591035.1,Archaea,2.44,84.9,RS_GCF_000591035.1
Aeropyrum camini,RS_GCF_001316065.1,Archaea,2.44,84.9,RS_GCF_000591035.1
Aeropyrum pernix,RS_GCF_000011125.1,Archaea,3.08,90,RS_GCF_000011125.1
Aeropyrum pernix,RS_GCF_004323575.1,Archaea,3.08,90,RS_GCF_000011125.1
Archaeoglobus fulgidus,RS_GCF_000734035.1,Archaea,3.5,76,RS_GCF_000008665.1
Archaeoglobus fulgidus,RS_GCF_900069765.1,Archaea,3.5,76,RS_GCF_000008665.1
Archaeoglobus fulgidus,RS_GCF_000008665.1,Archaea,3.5,76,RS_GCF_000008665.1
Archaeoglobus fulgidus,RS_GCF_001508745.1,Archaea,3.5,76,RS_GCF_000008665.1
Archaeoglobus fulgidus,RS_GCF_029982885.1,Archaea,3.5,76,RS_GCF_000008665.1
Archaeoglobus_B profundus,RS_GCF_000025285.1,Archaea,3.87,81.9,RS_GCF_000025285.1
Archaeoglobus_C veneficus,RS_GCF_000194625.1,Archaea,1.02,79.9,RS_GCF_000194625.1
Caldisphaera lagunensis,RS_GCF_000317795.1,Archaea,5,75,RS_GCF_000317795.1
Caldivirga maquilingensis,RS_GCF_000018305.1,Archaea,8,85,RS_GCF_000018305.1
Ferroglobus placidus,RS_GCF_000025505.1,Archaea,2.78,85.1,RS_GCF_000025505.1
Geoglobus ahangari,GB_GCA_013151125.1,Archaea,4.97,87.6,RS_GCF_001006045.1
Geoglobus ahangari,RS_GCF_001006045.1,Archaea,4.97,87.6,RS_GCF_001006045.1
Haloarcula marismortui,RS_GCF_000337755.1,Archaea,12,37,RS_GCF_000011085.1
Haloarcula marismortui,RS_GCF_005310945.1,Archaea,12,37,RS_GCF_000011085.1
Haloarcula marismortui,RS_GCF_018200015.1,Archaea,12,37,RS_GCF_000011085.1
Haloarcula marismortui,RS_GCF_000337275.1,Archaea,12,37,RS_GCF_000011085.1
Haloarcula marismortui,RS_GCF_011627385.1,Archaea,12,37,RS_GCF_000011085.1
Haloarcula marismortui,RS_GCF_000011085.1,Archaea,12,37,RS_GCF_000011085.1
Haloarcula vallismortis,RS_GCF_000337775.1,Archaea,2.91,47,RS_GCF_000337775.1
Haloarcula vallismortis,RS_GCF_900106715.1,Archaea,2.91,47,RS_GCF_000337775.1
Halobacterium salinarum,RS_GCF_030250125.1,Archaea,1.05,37,RS_GCF_008124605.1
Halobacterium salinarum,RS_GCF_030250225.1,Archaea,1.05,37,RS_GCF_008124605.1
Halobacterium salinarum,RS_GCF_021504045.1,Archaea,1.05,37,RS_GCF_008124605.1
Halobacterium salinarum,RS_GCF_000006805.1,Archaea,1.05,37,RS_GCF_008124605.1
Halobacterium salinarum,RS_GCF_020736485.1,Archaea,1.05,37,RS_GCF_008124605.1
Halobacterium salinarum,RS_GCF_008124605.1,Archaea,1.05,37,RS_GCF_008124605.1
Halobaculum gomorrense,RS_GCF_900129775.1,Archaea,2.57,45,RS_GCF_900129775.1
Halococcus hamelinensis,RS_GCF_000259215.1,Archaea,14,37,RS_GCF_000336675.1
Halococcus hamelinensis,RS_GCF_000336675.1,Archaea,14,37,RS_GCF_000336675.1
Halococcus morrhuae,RS_GCF_000336695.1,Archaea,1.46,51,RS_GCF_000336695.1
Halococcus morrhuae,RS_GCF_022870485.1,Archaea,1.46,51,RS_GCF_000336695.1
Halococcus salifodinae,RS_GCF_000336935.1,Archaea,26,37,RS_GCF_000336935.1
Halococcus salifodinae,RS_GCF_028617175.1,Archaea,26,37,RS_GCF_000336935.1
Haloferax volcanii,RS_GCF_010692905.1,Archaea,1.84,45,RS_GCF_000025685.1
Haloferax volcanii,RS_GCF_018420015.1,Archaea,1.84,45,RS_GCF_000025685.1
Haloferax volcanii,RS_GCF_007714225.1,Archaea,1.84,45,RS_GCF_000025685.1
Haloferax volcanii,RS_GCF_000336735.1,Archaea,1.84,45,RS_GCF_000025685.1
Haloferax volcanii,RS_GCF_003383015.1,Archaea,1.84,45,RS_GCF_000025685.1
Haloferax volcanii,RS_GCF_000025685.1,Archaea,1.84,45,RS_GCF_000025685.1
Halogeometricum borinquense,RS_GCF_000337855.1,Archaea,1.71,49,RS_GCF_000172995.2
Halogeometricum borinquense,RS_GCF_000172995.2,Archaea,1.71,49,RS_GCF_000172995.2
Halogeometricum borinquense,RS_GCF_010692885.1,Archaea,1.71,49,RS_GCF_000172995.2
